filename,folder,width,height,final_label,final_score,oval_candidate_count,best_candidate_area,best_candidate_major_axis,best_candidate_minor_axis,best_candidate_axis_ratio,best_candidate_eccentricity,best_candidate_solidity,best_candidate_contrast,best_candidate_ring_strength,best_candidate_gradient_strength,best_candidate_ellipse_fit_error,best_candidate_center_x,best_candidate_center_y,threshold_used,decision_reason,ring_continuity,structure_overlap,orientation_anisotropy,border_touching,overlay_path,shape_score,contrast_score,ring_score,gradient_score,continuity_score,blob_score
bad15.png,unknown,1170,1170,unvalidated,0.0,6,2574.8923916599233,138.86722596354502,31.746521906239362,4.374250079226869,0.9735179437434208,0.6218905472636815,-1.4216415615914575,0.22400533931878136,0.3895670771598816,0.9240121580547113,943.0473454265673,45.28075111357503,,threshold unavailable: need both bad and good validation samples,0.3333333333333333,0.4624,0.5827056961371903,0.0,/Users/diaoyingjie/Documents/Codex/2026-06-29/fab-aoi-defect-inspection-image-processing-18/work/photos_export/output/processed_images/unknown/bad15/final_overlay.png,0.2409609041603749,0.0,0.23091394483525574,0.35165366172790524,0.3194444444444444,1.0
bad16.png,unknown,1170,1170,unvalidated,69.06819990669193,30,2250.8212668514657,92.67772373816778,35.56900604137246,2.6055753042513676,0.9234194028312901,0.8506900878293601,1.5620264410497473,0.4191413987019243,0.36059558391571045,0.6949152542372881,468.2135000268453,739.7427393489853,,threshold unavailable: need both bad and good validation samples,0.4861111111111111,0.0,0.6267225719984242,0.0,/Users/diaoyingjie/Documents/Codex/2026-06-29/fab-aoi-defect-inspection-image-processing-18/work/photos_export/output/processed_images/unknown/bad16/final_overlay.png,0.612724416029289,0.8860766309392408,0.40831036245629476,0.32847646713256834,0.6377314814814815,1.0
bad17.png,unknown,1170,1170,unvalidated,67.98351251726368,20,2999.1309550455394,102.23796322137983,41.46098239787881,2.4658837612735978,0.914079907827649,0.7925347222222222,1.301683892784483,0.45852033666131153,0.47143983840942383,0.6689814814814814,939.5635340520455,954.3764549666914,,threshold unavailable: need both bad and good validation samples,0.5555555555555556,0.078003120124805,0.5271696795740948,0.0,/Users/diaoyingjie/Documents/Codex/2026-06-29/fab-aoi-defect-inspection-image-processing-18/work/photos_export/output/processed_images/unknown/bad17/final_overlay.png,0.6531192063474619,0.728293268354232,0.44410939696482865,0.4171518707275391,0.7824074074074076,1.0
bad18.png,unknown,1170,1170,unvalidated,55.07145850250407,30,2127.0850191973277,76.5851990315924,36.817156803558476,2.080149736717047,0.8768661368768916,0.8940852819807428,1.0235158502693749,0.2616548311265484,0.21263308823108673,0.5882352941176471,1031.3184689090458,877.6583786327313,,threshold unavailable: need both bad and good validation samples,0.4305555555555556,0.12296983758700696,0.45942690488060556,0.0,/Users/diaoyingjie/Documents/Codex/2026-06-29/fab-aoi-defect-inspection-image-processing-18/work/photos_export/output/processed_images/unknown/bad18/final_overlay.png,0.7742777578484116,0.5597065759208333,0.2651407555695895,0.21010647058486936,0.5219907407407408,1.0
bad19.png,unknown,1170,1170,unvalidated,64.93359805760582,30,2710.4130438525503,66.41259889879662,48.83630234176192,1.3599022799480969,0.677690826618729,0.9636363636363636,1.3802277644636114,0.0926861188135841,0.0857694000005722,0.33989266547406083,685.6776225616328,383.6518293198708,,threshold unavailable: need both bad and good validation samples,0.4722222222222222,0.0,0.4580173577727056,0.0,/Users/diaoyingjie/Documents/Codex/2026-06-29/fab-aoi-defect-inspection-image-processing-18/work/photos_export/output/processed_images/unknown/bad19/final_overlay.png,0.966259161254866,0.7758956148264311,0.11153283528507645,0.10861552000045775,0.6087962962962963,1.0
bad2.png,unknown,1170,1170,unvalidated,50.51239602930653,30,2044.5941874279022,91.99228983202416,34.409517311950935,2.673454817690043,0.9274094097871922,0.7472256473489519,0.5796145608063958,0.31484223742490586,0.24022714793682098,0.7701674277016743,426.28738688235455,727.3663159129036,,threshold unavailable: need both bad and good validation samples,0.5555555555555556,0.0,0.08026659655481092,0.0,/Users/diaoyingjie/Documents/Codex/2026-06-29/fab-aoi-defect-inspection-image-processing-18/work/photos_export/output/processed_images/unknown/bad2/final_overlay.png,0.526223113254359,0.2906754913978157,0.31349294311355075,0.23218171834945678,0.7824074074074076,1.0
bad20.png,unknown,1170,1170,unvalidated,50.813926616293315,30,2097.624007851104,58.35180800980057,45.82570546890195,1.2733422740081772,0.619071281856682,0.9556868537666174,1.6913783223815861,0.619407865188725,0.5379563570022583,0.29383886255924174,1087.3492437972072,44.03244525070507,,threshold unavailable: need both bad and good validation samples,0.4861111111111111,0.22252747252747251,0.6244800674643836,0.0,/Users/diaoyingjie/Documents/Codex/2026-06-29/fab-aoi-defect-inspection-image-processing-18/work/photos_export/output/processed_images/unknown/bad20/final_overlay.png,0.9743741618117334,0.9644717105342946,0.5903707865352046,0.4703650856018067,0.6377314814814815,1.0
bad21.png,unknown,1170,1170,unvalidated,59.42634925788158,30,10900.574198102648,156.1754992789747,93.12080240843207,1.6771279374718218,0.8027932939093188,0.8450299401197605,0.6443623972556223,0.5052151962294091,0.2932111322879791,0.5100931677018634,584.488380717044,630.407035479407,,threshold unavailable: need both bad and good validation samples,0.5,0.0,0.2881377460400332,0.0,/Users/diaoyingjie/Documents/Codex/2026-06-29/fab-aoi-defect-inspection-image-processing-18/work/photos_export/output/processed_images/unknown/bad21/final_overlay.png,0.8943159214390027,0.3299166043973469,0.48655926929946286,0.2745689058303833,0.6666666666666667,1.0
bad22.png,unknown,1170,1170,unvalidated,63.48813013900886,30,3122.867202699678,116.10083457345289,43.35920179533266,2.677651565669514,0.9276456456608627,0.6619817287420942,0.7268236196163796,0.80983480760155,0.7142208814620972,0.767578125,447.809065189599,615.7533080548171,,threshold unavailable: need both bad and good validation samples,0.5555555555555556,0.0,0.23983730344055412,0.0,/Users/diaoyingjie/Documents/Codex/2026-06-29/fab-aoi-defect-inspection-image-processing-18/work/photos_export/output/processed_images/unknown/bad22/final_overlay.png,0.5001406103869005,0.37989310279780586,0.7634861887286818,0.6113767051696778,0.7824074074074076,1.0
bad23.png,unknown,1170,1170,unvalidated,38.99052882621722,30,4483.965926895197,177.85075967242608,44.858252220628664,3.9647278007554436,0.9676688435720079,0.702061855670103,0.6169661297385726,0.4465066760558622,0.40582266449928284,0.8128544423440454,445.2052626867017,129.69301587813126,,threshold unavailable: need both bad and good validation samples,0.5138888888888888,0.2680320569902048,0.4332646649934929,0.0,/Users/diaoyingjie/Documents/Codex/2026-06-29/fab-aoi-defect-inspection-image-processing-18/work/photos_export/output/processed_images/unknown/bad23/final_overlay.png,0.34517797424214625,0.3133128059021652,0.43318788732351104,0.3646581315994263,0.6956018518518517,1.0
